Вакансия,Зарплата,Местоположение,Описание
Web-дизайнер,30 000 руб.,Город не указан,"Я — веб-дизайнер c опытом около года, который стремится развиваться и учиться. Заинтересована в создании визуально приятных и функциональных веб-сайтов. Хочу улучшить свои навыки под руководством опыт..."
Веб - дизайнер,50 000 руб.,Город не указан,"Здравствуйте! Меня зовут Олег Чавкин, я начинающий веб-дизайнер, работаю в этом направлении более 2 лет и знаю, как выполнить поставленные задачи в короткие сроки и минимизировать затраты. Предпочитаю..."
Дизайнер,5 000 руб.,Город не указан,"Студентка факультета дизайна(магистратура), направление ""графический дизайн"". Ищу возможность набраться опыта, зарплата не имеет значения. Подходит удаленный формат работы, но с возможностью постоянно..."
Веб-дизайнер \ UI&UX дизайнер,3 000 руб.,Город не указан,"Здравствуйте! Я учусь в РГППУ на 2 курсе в направлении ""Информационные системы и технологии в медиаиндустрии"".    Хорошо знаю базовый функционал Adobe Photoshope, Figma, Illustrator, Animate. Активно..."
Графический дизайнер,30 000 руб.,Город не указан,"Я дизайнер-новичок. Опыт работы больше полугода. На данный момент работаю в торговой компании как корпоративный сотрудник (маркетолог). Самостоятельно начала изучать фигму в январе, получила базовые н..."
Графический дизайнер,50 000 руб.,Город не указан,"Привет! Меня зовут Евгения. Я графический дизайнер. Для создания своих работ я использую Photoshop, Illustrator. Открыта для деловых предложений. Я готова переехать. Также я 3D-художник, создающий мод..."
Иллюстратор / Графический дизайнер,50 000 руб.,Город не указан,"Здравствуйте! Меня зовут Александра, я иллюстратор и графический дизайнер. В настоящее время я работаю как фрилансер и создаю коммерческие иллюстрации для различных типов проектов: - Бренд персонажи -..."
Дизайнер-иллюстратор,30 000 руб.,Город не указан,"ОБРАЗОВАНИЕ ИЮНЬ 2023 ДИЗАЙНЕР. ДИЗАЙН (ПО ОТРАСЛЯМ), АНО ПО «ГУМАНИТАРНО-ТЕХНИЧЕСКИЙ КОЛЛЕДЖ «ЗНАНИЕ» Г. ПОДОЛЬСК ИЮНЬ 2023 ПЕДАГОГ ИЗО И ДЕКОРАТИВНО-ПРИКЛАДНОГО ИСКУССТВА. «ТЕОРИЯ И МЕТОДИКА ПРЕПОДА..."
Дизайнер-визуализатор,30 000 руб.,Город не указан,"Здравствуйте, я Анна! Занимаюсь построением интерьеров и разработкой 3d-визуализаций в программе 3Ds Max + Corona Render, выполняю рабочую документацию в Archicad. Имею высшее образование по специальн..."
Веб-дизайнер,40 000 руб.,Город не указан,"Прошла несколько курсов по созданию сайтов на Tilda, работаю с Figma и прошла обучение на fronted-разработчика (html/css) - junior.  Создала свой сайт: http://webdizpushka.tilda.ws/designpushka"
Дизайнер карточек для маркетплейсов,20 000 руб.,Город не указан,"Здравствуйте! Меня зовут Валерия, мне 20 лет. Учусь на третьем курсе в НГУ на Экономическом факультете. Создаю инфографику для маркетплейсов более года. Работала с площадками OZON и Wildberries. Выпол..."
Дизайнер-художник,35 000 руб.,Город не указан,"Здравствуйте! У меня имеются следующие знания и навыки работы: • Долгое время рисую в digital (в программах SAI, Clip Studio Paint, Photoshop) на графическом планшете. Большой опыт работы в программах..."
Веб дизайнер,50 000 руб.,Город не указан,"Привет! Я Мария - графический дизайнер из Екатеринбурга Я специализируюсь на создании логотипов, фирменного стиля, полиграфической продукции и веб-дизайне За 4 года своей работы я успела посотрудничат..."
Веб-дизайнер,50 000 руб.,Город не указан,Я — творческий веб-дизайнер с углубленным образованием в дизайне от СПбГУПТД. Моя страсть к созданию функциональных и привлекательных веб-проектов дает мне возможность объединять креатив и технологичн...
Motion-дизайнер,40 000 руб.,Город не указан,"Работаю в программах: Adobe Animate,Adobe After Effects,Adobe Illustrator,Adobe Photoshop, figma В 2023 закончила Брянский государственный технический университет, по направлению ""Информационные систе..."
Веб-дизайнер,35 000 руб.,Город не указан,"Ищу возможность начать свою карьеру в сфере, где смогу применить свои текущие знания и навыки, а также активно развиваться и приобретать новый опыт."
WEB-дизайнер,35 000 руб.,Город не указан,"Работаю на фигме. Занимаюсь разработкой дизайна мобильных приложений, лендингов. Активно создаю и пользуюсь во время работы UI kit и компонентами. Умею создавать анимацию в фигме. Также могу создавать..."
Дизайнер-верстальщик,45 000 руб.,Город не указан,"Работаю дизайнером-верстальщиком с 2007 года. Основная рабочая программа CorelDRAW. Помимо этого работаю в Adobe InDesign, Adobe Illustrator, Adobe Photoshop,  Adobe Acrobat Pro, Microsoft Office, iSp..."
Художник дизайнер,20 000 руб.,Город не указан,"Хорошо справляюсь с различными задачами, легко обучаюсь новому, коммуникабельна, ищу творческий подход к любым вопросам Окончила художественную школу, затем поступила в институт на специальность ""Диза..."
Дизайнер,30 000 руб.,Город не указан,"Уже более 10 лет работаю в сфере дизайна, хорошо работаю в фотошоп и немного знаю корел драв"
Художник/Дизайнер,20 000 руб.,Город не указан,"Мне 22 года, я закончила бакалавриат и поступила в магистратуру на направление ""Технологии художественной обработки материалов"".  Также я проходила обучение в международной школе рисования GRAFIKA. Дл..."
Веб-дизайнер специалист по созданию сайтов,40 000 руб.,Город не указан,"Меня зовут Юлия, живу в городе Тамбов. Я специалист по созданию сайтов, настройке контекстной рекламы Яндекс.Директ и Google AdWords, UI | UX дизайнер. Со мной будет легко и комфортно работать из любо..."
"Дизайн персонажей, иллюстратор",3 000 руб.,Город не указан,"Среднее общее образование + 5 лет обучения в худ.школе (продолжение обучения в колледже на специальности ""Анимация"") 6 лет самообучения диджитал рисованию. Умения средние, стиль приближённый к реализм..."
Дизайнер,30 000 руб.,Город не указан,"Развита навыками в общении с людьми.  Ответственно и внимательно подхожу к исполнению своих обязанностей, выполняю и сдаю все поставленные мне задачи в срок. Всегда открыта к новым знаниям."
Дизайн,200 000 руб.,Город не указан,"многопрофильный дизайнер разработал, спроектировал, отрисовал, упаковал за 25+ лет индивидуальные графику, веб дизайн, лендинги, ux/ui интерфейсы, упаковку, логотипы, фирменные стили, презентации, пол..."
Графический дизайнер,20 000 руб.,Город не указан,"Меня зовут Дарья - графический дизайнер. Занимаюсь разработкой фирменного стиля, логотипа, визиток и прочей полиграфической продукцией. Имеются желание изучать новое и работать."
Frontend-разработчик,50 000 руб.,Город не указан,"Опыт работы 1 год 8 месяцев Текущее место работы:  ЧОУ ДПО Профиль Улан-Удэ, www.профкадр.рф HTML-верстальщик • Вёрстка веб-страниц согласно дизайну; • Разработка клиентской части на JS; • Подключение..."
Маркетолог,170 000 руб.,Город не указан,"Сентябрь 2021 — по настоящее время 2 года 1 месяц Главный маркетолог Работа по привлечению клиентов для кредитов, ипотеки, кредита под залог. Составление плана продвижения. Работа с доработками на сай..."
Контент-менеджер,20 000 руб.,Город не указан,"61 год, родился 2 мая 1961 Опыт работы —9 лет 3 месяца ООО «БЕСТЕК-Инжиниринг» Май 2017 — настоящее время 6 лет 1 месяц Контент-менеджер Подготовка и наполнение сайта, видео хостингов текстовыми, граф..."
Художник / дизайнер,18 000 руб.,Город не указан,"Учусь на дизайнера четвёртый год, есть опыт работы в 1 год. Работала дизайнером в рекламном агентстве ""Позитив"". Работала чаще всего в таких программах, как: CorelDROW, Illustrator, реже в SketchUp и..."
Филолог/Лингвист,70 000 руб.,Город не указан,"В данное время интересует сфера разработки игр, хочу работать и развиваться в ней. Я люблю компьютерные игры разных жанров и у меня есть хороший игровой опыт.  Особенно меня интересуют вакансии Гейм-д..."
Видеомонтажер,20 000 руб.,Город не указан,"Опыт работы:  3 года - фриланс Опыт монтажа - 5 лет Уверенное владение программами: Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Adobe Audition.  Базовое знание Adobe After Effects (ротоскопиро..."
Коммуникационный дизайнер,50 000 руб.,Город не указан,"3 года занимаюсь дизайном на фрилансе, преимущественно разрабатывая айдентики, иллюстрации, плакаты, полиграфию и предпечатку в музыкальной сфере. Хочу развиваться в коммуникационном дизайне. Я только..."
"Fullstack-разработчик, frontend, backend",99 000 руб.,Город не указан,"Более 18 лет в IT — от дизайнера полиграфии до универсального разработчика веб-сайтов;      • Знания PHP, MySQL, MSSQL, HTML, SASS, LESS, CSS, VB.NET, VBA, JavaScript, jQuery;     • Разработка и сопро..."
Помощник специалиста по рекламе по Яндекс.Директу,20 000 руб.,Город не указан,"Я - начинающий специалист по ЯНДЕКС Рекламе, прошла теоретическое обучение по темам: -	перспективные ниши и целевая аудитория -	создание мастер-кампании, повышение кликабельности заголовков -	яндекс м..."
Начинающий специалист,20 000 руб.,Город не указан,"Я начинающий веб-дизайнер, сейчас прохожу обучение. Знание основ Figma, Adobe Illustrator, Adobe Photoshop. Хорошие навыки коммуникации, большое желание обучаться и работать в сфере дизайна. Английски..."
3D художник,40 000 руб.,Город не указан,"С отличием закончила бакалавриат Школы Дизайна НИУ ВШЭ на направлении ""CGI и Визуальные эффекты/3D анимация"".  Имею опыт работы на проекте по разработке мобильной игры ""The Деньги"" на должности 3D худ..."
3D аниматор,40 000 руб.,Город не указан,"С отличием закончила бакалавриат Школы Дизайна НИУ ВШЭ на направлении ""CGI и Визуальные эффекты/3D анимация"". Имею опыт работы на проекте по разработке мобильной игры ""The Деньги"" на должности 3D худо..."
Психолог / Консультант,80 000 руб.,Город не указан,"Закончила среднее-профессиональное на дизайнера-педагога (по одежде), высшее (бакалавриат)-графический дизайнер, дополнительное образование- телесно-ориентированный психолог, психологическое консульти..."
Видеомонтажёр,50 000 руб.,Город не указан,"Занимаюсь созданием геймплейных видеороликов для игр: Мир танков (World of Tanks), War Thunder, так же есть работы и по другим играм. Веду активную деятельность с блогерами на YouTube и оформлением ра..."
Графический дизайнер,50 000 руб.,Город не указан,"Имею среднее профессиональное художественное образование, опыт работы с реальным заказчиком. Создаю креативный дизайн со смыслом. Привыкла решать сложные задачи и быстро понимать, что от меня требуетс..."
Копирайтер,75 000 руб.,Город не указан,"Конечно, я могу рассказать о своем опыте и навыках как копирайтере и логотип-дизайнере. Как опытному копирайтеру, мне присуществуют следующие черты: 1. У меня есть обширный опыт в создании текстов, ко..."
QA engineer,30 000 руб.,Город не указан,"Навыки:  Анализ и уточнение требований с проектными менеджерами, разработка тестов на основании ТЗ Ручное функциональное, регрессионное и интеграционное тестирование составление тестовой документации,..."
Администратор онлайн школ,20 000 руб.,Город не указан,"2023 обучение в Онлайн школе Марии Лебедевой курсы  ""Администратор онлайн школ"" настройка платформы Getcourse, дизайн сайтов на Tilda, дизайн презентаций, визиток, обложек в сервисах Canva, Figma, кон..."
Иллюстратор 2д,30 000 руб.,Город не указан,"Я художник-иллюстратор, работаю над созданием дизайнов для печати на футболках и другой продукции. Так же занимаюсь отрисовкой портретов по тз в заданном стиле и разработкой фирменных стикеров."
Front End Engineer,450 000 руб.,Город не указан,"Frontend-инженер с 5-летним опытом React-разработки. В настоящее время мой стек – React, TypeScript, Jotai/Effector, Tailwind, Vite. Имею опыт работы с NextJS и Astro, могу поддержать проекты на Redux..."
HTML-верстальщик,40 000 руб.,Город не указан,"Май 2023 — июль 2023 3 месяца Волонтер Благотворительный фонд ""Доброе сердечко"" Буденновск, доброе-сердечко.рф Верстка сайта с нуля по дизайну, посадка на WordPress, настройка форм обратной связи, кас..."
Художник,40 000 руб.,Город не указан,"Я являюсь 2D художником с опытом работы создания концептов персонажей и оружия, дизайн маректплейсов. Мне нравится создавать уникальные и запоминающиеся дизайны, которые привлекают внимание и вызывают..."
Веб-дизайнер,3 000 руб.,Город не указан,"На данный момент, я студент, Но я умею работать с “Tilda”, так же на уровне новичка знакома с «Figma”  Готова обучаться, впитывать новые знания и показывать все умения на практике"
Дизайнер,50 000 руб.,Город не указан,"Рассматриваю работу связанную с дизайном и контентом. Главные навыки- креативность, творческий подход, хорошо владею компьютерными программами"
Видеомонтажёр,40 000 руб.,Город не указан,"Здравствуйте! Я специалист по видеопроизводству. Создаю ролики в самых различных направлениях.  Чтобы видео получилось качественным, я делаю склейку кадров, цветокоррекцию, саунд-дизайн, удаление шумо..."
QA инженер / Тестировщик,30 000 руб.,Город не указан,Октябрь 2022 — настоящее время 9 месяцев	 	Skypro (крупнейшая платформа онлайн-обучения) sky.pro/ Инженер по тестированию КЛЮЧЕВЫЕ ПРОФЕССИОНАЛЬНЫЕ КОМПЕТЕНЦИИ: - Владение техниками тест-дизайна и мет...
Аккаунт менеджер,70 000 руб.,Город не указан,"Опыт работы — 3 года 2 месяца Март 2020 — Апрель 2023 3 года 2 месяца Белфуд Продакшн ООО Менеджер по работе с маркетплейсами Навыки: Создание карточек товара, загрузка фотографий, формирвоание SEO в..."
"Разработчик / верстальщик на Tilda, Webflow",90 000 руб.,Город не указан,"За время фриланса разработал с ноля 8 сайтов: aidcon.ru (2022), pb-stb.ru (2021), lprinter.ru (2021), элокс.рф (2020), zoloto-gor.ru (2019) эти сайты которые работают на данный момент. За три года раб..."
UX/UI designer,70 000 руб.,Город не указан,"Я - практикующий Веб-дизайнер. Планирую развиваться в дизайне, мои цели на ближайшее время — научиться создавать полезные и качественные для пользователя сайты и обучиться навыкам UX дизайна. Меня вдо..."
Помощник менеджера по маркетплейсам,20 000 руб.,Город не указан,"Свободно владею компьютером, мессенджерами. Хорошо ориентируюсь в интернете, быстро обучаюсь и вникаю в процесс работы. Ответственно подхожу к работе, так же могу брать на себя несколько задач сразу,..."
Junior Frontend Developer/ Верстальщик,50 000 руб.,Город не указан,Мои навыки: -HTML5 -CSS3 / SASS -JavaScript -React.js -Cистема контроля версий Git -Вёрстка страниц по проекту дизайна в Figma -Опыт создания разничных дизайнов на Figma Знания языков: Английский (Int...
Frontend developer,40 000 руб.,Город не указан,"Я - начинающий frontend разработчик, решивший сменить профиль деятельности и посвятить себя разработке веб-приложений.  Выбрав frontend-направление, я была очарована возможностями создания интерфейсов..."
Ruby on Rails developer,120 000 руб.,Город не указан,С апреля 2022 по май 2023 fullstack Ruby on Rails developer в Workandplay. С мая 2023 по настоящее время freelance fullstack Ruby on Rails developer на Upwork.com и других агрегаторах. Текущий стек: R...
Администратор онлайн школ,5 000 руб.,Город не указан,"В данный момент заканчиваю обучение в Школе Удаленных Профессий Марии Лебедевой.  Что получила на обучении  и могу применять на практике: создавать  сайты на Тильде, загружать и проводить  вебинары на..."
Тестировщик ПО,40 000 руб.,Город не указан,Добрый день! Меня зовут Владимир.     Имею опыт в тестировании мобильных приложений. На проекте с командой занимались совершенствованием и редизайном мобильных приложений: составлял чек-листы проверок...
"Исполнительный директор, ведущий менеджер, супервайзер.",60 000 руб.,Город не указан,"Опыт работы —34 года 3 месяца Май 2023 — сентябрь 2023 5 месяцев ООО НОП ""ФАРБ"" Йошкар-Ола Менеджер по работе с клиентами Поиск клиентов, продажи, составление и согласование договоров. Июль 2022 — Апр..."
"Дизайнер, Дизайнер одежды,",40 000 руб.,Город не указан,"Опыт работы в текстильном производстве  Работаю на САПР Gerber  Работа над образцами , выявление браков, проверка готовых образцов. Составление лекал по изменениям, изменение в градации по тех. докуме..."
Тестировщик,40 000 руб.,Город не указан,"Образование: Среднее-специальное Специальность ""Техник программист"" Образовательное учреждение ГБПОУ ""НАМТ"" Опыт работы: Организация - ООО ""Гамма Регион"" QA engineer (junior) - 2 года и 5 месяцев Долж..."
Дизайнер одежды,50 000 руб.,Город не указан,"Опыт работы дизайнером одежды около двух лет. В основном работаю дизайнером-модельером, но так же владею навыками конструирования и пошива одежды. Работала в сфере нижнего белья, работала с принтами...."
Помощник Архитектора,30 000 руб.,Город не указан,"Опыт работы 3 месяца Март 2023 — апрель 2023 2 месяца ИП Плесцова А.А. Ярославль Помощник дизайнера интерьера Разработка дизайнерских решений интерьера Сентябрь 2022 — сентябрь 2022 1 месяц ООО ""СПК""..."
Иллюстратор,40 000 руб.,Город не указан,"26.06.2000 Иллюстратор, графический дизайнер, преподаватель Образование: 2016-2021 Ивановское художественное училище имени М.И.Малютина (Иллюстратор, графический дизайнер, преподаватель) Навыки: - Ado..."
Frontend-разработчик,35 000 руб.,Город не указан,"Операционные системы: ▪ Microsoft Windows XP/7/8/10 Знания: ▪ HTML/CSS/JS ▪ Vue.js ▪ Git ▪ Webpack ▪ Parcel ▪ Gulp ▪ Sass/Scss ▪ Node.js Навыки: ▪ Оптимизировал код, загрузку страниц и ресурсы, миними..."
Менеджер по работе с Wildberries / Ozon,40 000 руб.,Город не указан,"ОПЫТ РАБОТЫ Декабрь 2021 – март 2022  Должность: Специалист 1С ОАО ХОЛДИНГОВАЯ КОМПАНИЯ ЭЛЕКТРОЗАВОД, Москва (https://www.elektrozavod.ru) Обязанности: Внедрение 1С: Документооборот, а также поддержка..."
Ассистент,15 000 руб.,Город не указан,"Ищу подработку, неполный рабочий день Навыки: - фото/видео съемка, монтаж видеороликов  - графический дизайн  - организация мероприятий  - создание контента для соц. сетей - коммуникативные навыки - у..."
Иллюстратор,3 000 руб.,Город не указан,"Доброго времени суток! Я - студентка, которая ищет подработку в качестве иллюстратора. Мои работы вы можете просмотреть перейдя по ссылке в графе ""контактные данные"". С 2015 года рисую в диджитал-форм..."
Ux ui and Web designer,30 000 руб.,Город не указан,Здравствуйте! Моя специальность Ux Ui и веб дизайн. Опыт работы 1 год. По коммерческим опытам 2 месяца. Свободно владею Photoshop Corel draw Figma и другими приложениями.  Навыки: Умения работать в ко...
Администратор онлайн-школы / Технический специалист,25 000 руб.,Город не указан,"Опыт работы (Школа Getproff): - Внедрение платформы Геткурс - Работа с тренингами - Создание лендингов - Создание рассылок и процессов Мои хобби: вязание, живопись, кулинария, психология, дизайн, путе..."
Разработчик Unity,50 000 руб.,Город не указан,Разработчик с опытом реализации WebGL игр от идеи и до прохождения модерации на платформе Яндекс.Игр. Посмотреть релиз можно по ссылке: https://yandex.ru/games/app/245249 Ссылка на открытые репозитори...
"Project-manager , Помощник руководителя",50 000 руб.,Город не указан,"Я квалифицированный целеустремленный коммуникабельный сотрудник. Хорошо проявил себя на позициях помощника руководителя, помощника юриста. Иду в ногу со временем. Н А В Ы К И Word, Excel, Pages, Numbe..."
Ретушер,40 000 руб.,Город не указан,"Резюме: Ретушер Добрый день! Меня зовут Ульяна, я занимаюсь обработкой фотографий в Photoshop и ligthroom больше года. Ранее работала на должности дизайнера около 2х лет, а так же имею опыт работы в ф..."
Инженер-проектировщик,20 000 руб.,Город не указан,"Проектирование слаботочных систем – домофонов, устройств видеонаблюдения, охранной и пожарной сигнализации.  Мы работаем с частными и коммерческими объектами, разрабатывая слаботочные системы локально..."
Корректор,20 000 руб.,Город не указан,Ищу удаленную работу.  Высшее педагогическое образование (специальность «Филология. Английский и немецкий языки»). Опыт работы корректором - с 2003 г.  В настоящий момент  - внештатный редактор-коррек...
Web Developer,30 000 руб.,Город не указан,"Общие сведения:     Более 2-летний опыт работы веб-разработчиком с фокусом на PHP, JavaScript и Node.js.     Знание и опыт работы с фреймворком React для разработки динамических пользовательских интер..."
Менеджер маркетплейса,25 000 руб.,Город не указан,"Здравствуйте! Мне 38 лет. У меня высшее образование. Я закончила онлайн-курсы “Менеджер маркетплейсов”, ""Инфографика для маркетплейсов"", «Web-дизайн в Figma» в школе Instastart и курсы ""Копирайтер-мар..."
Web-designer,10 000 руб.,Город не указан,"Доброе время суток! Я-начинающий веб-дизайнер, на данный момент обучаюсь в онлайн-школе.Очень хочу получить опыт работы в данной сфере.Также знаю английский на разговорном уровне(В1)."
Тестировщик ПО,35 000 руб.,Город не указан,Ищу удаленную работу тестировщика ПО с достойной оплатой труда. Cпециальность тестировщика ПО изучил в онлайн-школе Stepik.  В процессе обучения освоил Автоматизацию тестирования + программирование на...
Level Designer (Unity),50 000 руб.,Город не указан,"Три года занимаюсь разработкой видео игр, изучая индустрию по разным направлениям - программирование, рисование, история, а так же GameDesign и LevelDesign.   Участвовал с командами инди-разработчиков..."
Дизайнер,20 000 руб.,Город не указан,"Имею среднее профессиональное образование по специальности дизайн. Работаю в программах CorelDraw, photoshop, krita, ArchiCAD."
Иллюстратор,3 000 руб.,Город не указан,"Умение работать с программами Adobe Photoshop, Adobe Illustrator, Adobe Indesign, SAI2. Могу создавать векторные и растровые иллюстрации, а также иллюстрации в традиционной технике (например, цветными..."
"Web-разработчик, Drupal, WordPress",110 000 руб.,Город не указан,"Ключевые навыки: Drupal, WordPress, elementor PHP, nginx, drupal api jQuery, Bootstrap, HTML, CSS, SEO Adobe Photoshop Adobe Illustrator Figma Adalo Glide Ноябрь 2022 — по настоящее время iTargency и..."
Модератор чата YouTube / Twitch / GoodGame / WASD,20 000 руб.,Город не указан,"Стример/Летсплеер - Ведение стримов  - Запись и монтаж роликов для YouTube - Настройка ПО для записи видео/стримов (OBS, elgato, GeForce Experince) - Модерирование чата - Создание и настройка дизайна..."
Администратор на удалёнку,35 000 руб.,Город не указан,"С мая 2023 г. работаю специалистом ИТ  в ОГАУ МФЦ (Мои документы) прожу настройку компютеров, установку программ и приложений.  В свободное от работы  время выкладываю посты и администрирую 2 группы в..."
2d artist,50 000 руб.,Город не указан,"С помощью курсов школы Pixel структурировала и углубила свои знания и навыки растровой 2d графики в Photoshop: построение изометрии, перспективы, плоскостных композиций, иллюстраций, а также работы с..."
UI/UX дизайнер,40 000 руб.,Город не указан,"В течение четырёх месяцев я работала в компании ""Игрушкофф"", моя работа заключалась в создании инфографики для карточек товара на маркетплейсе.  Был опыт работы в команде, которая состояла из Backend..."
Тестировщик ПО,140 000 руб.,Город не указан,"Ярослав Жуковин Manual QA Engineer Технические навыки Тест-анализ Тест-дизайн Работа с TestRail Работа с БД  (Mongo Compass, DBeaver) Базовое нагрузочное тестирование (через Jmeter) Исследовательское,..."
Менеджер по работе с маркетплейсами,20 000 руб.,Город не указан,"Приветствую Вас! Меня зовут Анна! Я являююсь менеджером маркетплейсов WILDBERRIES , OZON, ЯНДЕКС МАРКЕТ с большими опытом работы в личном кабинете селлера.  С огромным желанием и удовольствием готова..."
3д визуализатор/ моделлер/,25 000 руб.,Город не указан,"Предлагаю услуги по интерьерной 3д визуализации жилых помещений, отдельных моделей мебели. Навыки работы в 3ds Max/ Corona, Photoshop, ArchiCad, Corel Draw. Образование высшее художественное ( ЛГПУ, х..."
Smm & Digital & Marketing & Дизайн,3 000 руб.,Город не указан,Комплексные маркетинговые решения для бизнеса. Помогаем выстраивать эффективную коммуникацию с клиентами
Art-специалист,40 000 руб.,Город не указан,"ОПЫТ РАБОТЫ Должность: Ассистент-руководитель Компания: Бренд одежды ""Viator"" Период работы: октябрь 2020 - февраль 2021 (4 месяца) Обязанности: Внесение правок в коллекцию Бренда.Замер моделей и выез..."
Интернет маркетолог/ IT-директор/ c PHP-разработчиком,200 000 руб.,Город не указан,"Заинтересован в вакансии с релокацией на Пхукет (ПМЖ) или удаленно работать из Пхукета. Буду полезен в проектах где нужно развивать интернет-маркетинг компании, создавать и управлять сайтами/ интернет..."
QA-Инженер,70 000 руб.,Город не указан,"Основные навыки: - Тест-дизайн; - Troubleshooting; - Linux, Networks (Wireshark); - SQL (DBeaver); - REST API (Postman, Swagger); - HTML, CSS, JS (DevTools); - Agile (Jira, Confluence); - Системное мы..."
